Question,Solution,,,,,,,,
"2. Molar volume is the volume occupied by 1 mol of any (ideal) gas at standard temperature and pressure (STP: 1 atmospheric pressure, 0 C). Show that it is 22.4 litres.","The ideal gas equation relating pressure (P), volume (V), and absolute temperature (T) is given as
PV = nRT
Where R is the universal gas constant = 8.314 J mol^-1 K^-1
n = Number of moles = 1
T = Standard temperature = 273 K
P = Standard pressure = 1 atm = 1.013 x 10^5 Nm^-2
Hence,
V = nRT / P
= 1 x 8.314 x 273 / 1.013 x 10^5
= 0.0224 m^3
= 22.4 litres
Therefore, the molar volume of a gas at STP is 22.4 litres.",,,,,,,,
"4. An oxygen cylinder of volume 30 litres has an initial gauge pressure of 15 atm and a temperature of 27 C. After some oxygen is withdrawn from the cylinder, the gauge pressure drops to 11 atm and its temperature drops to 17 C. Estimate the mass of oxygen taken out of the cylinder (R = 8.31 J mol^-1 K^-1, the molecular mass of O2 = 32 u).
","Volume of gas, V1 = 30 litres = 30 x 10^-3 m^3
Gauge pressure, P1 = 15 atm = 15 x 1.013 x 10^5 P a
Temperature, T1 = 270 C = 300 K
Universal gas constant, R = 8.314 J mol^(-1) K^(-1)
Let the initial number of moles of oxygen gas in the cylinder be n1
The gas equation is given as follows:
P1V1 = n1RT1
Hence,
n1 = P1V1 / RT1= (15.195 x 10^5 x 30 x 10^-3) / (8.314 x 300)= 18.276
But n1 = m1 / M
Where,
m1 = Initial mass of oxygen
M = Molecular mass of oxygen = 32 g
Thus,
m1 = N1M = 18.276 x 32 = 584.84 g
After some oxygen is withdrawn from the cylinder, the pressure and temperature reduce.
Volume, V2 = 30 litres = 30 x 10^-3 m^3
Gauge pressure, P2 = 11 atm = 11 x 1.013 x 10^5 Pa
Temperature, T2 = 170 C = 290 K
Let n2 be the number of moles of oxygen left in the cylinder.
The gas equation is given as
P2V2 = n2RT2
Hence,
n2 = P2V2 / RT2 = (11.143 x 10^5 x 30 x 10^(-30)) / (8.314 x 290) = 13.86
But n2 = m2 / M
Where, m2 is the mass of oxygen remaining in the cylinder.
Therefore,
m2 = n2 x M = 13.86 x 32 = 453.1 g
The mass of oxygen taken out of the cylinder is given by the relation,
Initial mass of oxygen in the cylinder – Final mass of oxygen in the cylinder
= m1 – m2
= 584.84 g – 453.1 g
We get,
= 131.74 g
= 0.131 kg
Hence, 0.131 kg of oxygen is taken out of the cylinder.",,,,,,,,
"5. An air bubble of volume 1.0 cm^3 rises from the bottom of a lake 40 m deep at a temperature of 12 C. To what volume does it grow when it reaches the surface, which is at a temperature of 35 C?","The volume of the air bubble, V1 = 1.0 cm^3
= 1.0 x 10^-6 m^3
Air bubble rises to height, d = 40 m
The temperature at a depth of 40 m, T1 = 120 C = 285 K
The temperature at the surface of the lake, T2 = 350 C = 308 K
The pressure on the surface of the lake
P2 = 1 atm = 1.013 x 10^5 Pa
The pressure at a depth of 40 m
P1= 1 atm + dρg
Where,
ρ is the density of water = 10^3 kg / m^3
g is the acceleration due to gravity = 9.8 m/s^2
Hence,
P1 = 1.013 x 10^5 + 40 x 10^3 x 9.8
We get,
= 493300 Pa
We have
P1V1 / T1 = P2V2 / T2
Where, V2 is the volume of the air bubble when it reaches the surface
V2 = P1V1T2 / T1P2
= 493300 x 1 x 10^(-6) x 308 / (285 x 1.013 x 10^5)
We get,
= 5.263 x 10^(-6) m^3 or 5.263 cm^3
Hence, when the air bubble reaches the surface, its volume becomes 5.263 cm^3",,,,,,,,
"6. Estimate the total number of air molecules (inclusive of oxygen, nitrogen, water vapour and other constituents) in a room of capacity 25.0 m^3 at a temperature of 27 C and 1 atm pressure.","The volume of the room, V = 25.0 m^3
The temperature of the room, T = 270 C = 300 K
The pressure in the room, P = 1 atm = 1.013 x 10^5 Pa
The ideal gas equation relating pressure (P), Volume (V), and absolute temperature (T) can be written as
PV = (kBNT)
Where,
KB is Boltzmann constant = (1.38 x 10^(-23)) m^2 kg s^-2 K^-1
N is the number of air molecules in the room.
Therefore,
N = (PV / kBT)
= (1.013 x 10^5 x 25) / (1.38 x 10^(-23) x 300)
We get,
= 6.11 x 10^26 molecules
Hence, the total number of air molecules in the given room is 6.11 x 10^26",,,,,,,,
"7. Estimate the average thermal energy of a helium atom at 
(i) room temperature (27 C).
(ii) the temperature on the surface of the Sun (6000 K).
(iii) the temperature of 10 million kelvin (the typical core temperature in the case of a star).","(i) At room temperature, T = 270 C = 300 K
Average thermal energy = (3 / 2) kT
Where,
k is the Boltzmann constant = 1.38 x 10^(-23) m^2 kg s^-2 K^-1
Hence,
(3 / 2) kT = (3 / 2) x 1.38 x 10^(-23) x 300
On calculation, we get
= 6.21 x 10^(-21) J
Therefore, the average thermal energy of a helium atom at a room temperature of 270 C is 6.21 x 10^(-21) J
(ii) On the surface of the sun, T = 6000 K
Average thermal energy = (3 / 2) kT
= (3 / 2) x 1.38 x 10^(-23) x 6000
We get,
= 1.241 x 10^(-19) J
Therefore, the average thermal energy of a helium atom on the surface of the sun is 1.241 x 10^(-19) J
(iii) At temperature, T = 10^7  K
Average thermal energy = (3 / 2) kT
= (3 / 2) x 1.38 x 10^(-23) x 10^7
We get,
= 2.07 x 10^(-16) J
Therefore, the average thermal energy of a helium atom at the core of a star is 2.07 x 10^(-16) J",,,,,,,,
"8. Three vessels of equal capacity have gases at the same temperature and pressure. The first vessel contains neon (monatomic), the second contains chlorine (diatomic), and the third contains uranium hexafluoride (polyatomic). Do the vessels contain an equal number of respective molecules? Is the root mean square speed of molecules the same in the three cases? If not, in which case are Vrms the largest?","All three vessels have the same capacity, they have the same volume.
So, each gas has the same pressure, volume and temperature.
According to Avogadro’s law, the three vessels will contain an equal number of the respective molecules.
This number is equal to Avogadro’s number, N = 6.023 x 10^23
The root mean square speed (Vrms) of a gas of mass m and temperature T is given by the relation
Vrms = √3kT / m
Where,
k is the Boltzmann constant.
For the given gases, k and T are constants.
Therefore, Vrms depends only on the mass of the atoms, i.e., Vrms ∝ (1/m)1/2
Hence, the root mean square speed of the molecules in the three cases is not the same.
Among neon, chlorine and uranium hexafluoride, the mass of neon is the smallest.
Therefore, neon has the largest root mean square speed among the given gases.",,,,,,,,
"9. At what temperature is the root mean square speed of an atom in an argon gas cylinder equal to the rms speed of a helium gas atom at – 20 C? (atomic mass of Ar = 39.9 u, of He = 4.0 u)","Given
The temperature of the helium atom, THe = -200 C = 253 K
The atomic mass of argon, MAr = 39.9 u
The atomic mass of helium, MHe = 4.0 u
Let (Vrms)Ar be the rms speed of argon and
Let (Vrms)He be the rms speed of helium
The rms speed of argon is given by
(Vrms)Ar = √3RTAr / MAr ………… (i)
Where,
R is the universal gas constant.
TAr is the temperature of argon gas.
The rms speed of helium is given by
(Vrms)He = √3RTHe / MHe ………… (ii)
Given that
(Vrms)Ar = (Vrms)He
√3RTAr / MAr = √3RTHe / MHe
TAr / MAr = THe / MHe
TAr = THe / MHe x MAr
= (253 / 4) x 39.9
We get
= 2523.675
= 2.52 x 10^3 K
Hence, the temperature of the argon atom is 2.52 x 10^3 K.",,,,,,,,
10. Estimate the mean free path and collision frequency of a nitrogen molecule in a cylinder containing nitrogen at 2.0 atm and temperature 170 C. Take the radius of a nitrogen molecule to be roughly 1.0 Å. Compare the collision time with the time the molecule moves freely between two successive collisions (Molecular mass of N2 = 28.0 u).,"Mean free path = 1.11 x 10^(-7) m
Collision frequency = 4.58 x 10^9 s^-1
Successive collision time ≅ 500 x (Collision time)
The pressure inside the cylinder containing nitrogen, P = 2.0 atm = 2.026 x 10^5 Pa
The temperature inside the cylinder, T = 170 C = 290 K
The radius of a nitrogen molecule, r = 1.0 Å = 1 x 10^10 m
Diameter, d = 2 x 1 x 10^10 = 2 x 10^10 m
The molecular mass of nitrogen, M = 28.0 g = 28 x 10^(-3) kg
The root mean square speed of nitrogen is given by the relation
Vrms= √3RT / M
Where, R is the universal gas constant = 8.314 J mol^-1 K^-1
Hence, Vrms= 3 x 8.314 x 290 / 28 x 10^(-3) = 508.26 m/s
The mean free path (l) is given by the relation
l = KT / √2 x π x d^2 x P
Where,
k is the Boltzmann constant = 1.38 x 10^(-23) kg m^2 s^-2 K^-1
Hence,
l = (1.38 x 10^(-23) x 290) / (√2 x 3.14 x (2 x 10^(-10))^2 x 2.026 x 10^5
= 1.11 x 10^(-7) m
Collision frequency = Vrms / l = 508.26 / 1.11 x 10^(-7) = 4.58 x 10^9 s^-1
The collision time is given as
T = d / Vrms
= 2 x 10^(-10) / 508.26
= 3.93 x 10^(-13) s
Time taken between successive collisions
T’ = l / Vrms = 1.11 x 10^(-7) / 508.26
= 2.18 x 10^(-10)
Hence,
T’ / T = 2.18 x 10^(-10) / (3.93 x 10^(-13)) = 500
Therefore, the time taken between successive collisions is 500 times the time taken for a collision.",,,,,,,,
"11. A metre-long narrow bore held horizontally (and closed at one end) contains a 76 cm long mercury thread, which traps a 15 cm column of air. What happens if the tube is held vertically with the open end at the bottom?","Length of the narrow bore, L = 1 m = 100 cm
Length of the mercury thread, l = 76 cm
Length of the air column between mercury and the closed end, la = 15 cm
Since the bore is held vertically in the air with the open end at the bottom, the mercury length that occupies the air space is
= 100 – (76 + 15)
= 9 cm
Therefore,
The total length of the air column = 15 + 9 = 24 cm
Let h cm of mercury flow out as a result of atmospheric pressure.
So,
Length of the air column in the bore = 24 + h cm
And,
Length of the mercury column = 76 – h cm
Initial pressure, V1 = 15 cm^3
Final pressure, P2 = 76 – (76 – h)
= h cm of mercury
Final volume, V2 = (24 + h) cm^3
The temperature remains constant throughout the process.
Therefore,
P1V1 = P2V2
On substituting, we get
76 x 15 = h (24 + h)
h2 + 24h – 11410 = 0
Solving further, we get
= 23.8 cm or -47.8 cm
Since height cannot be negative. Hence, 23.8 cm of mercury will flow out from the bore.
Length of the air column = 24 + 23.8 = 47.8 cm",,,,,,,,
"12. From a certain apparatus, the diffusion rate of hydrogen has an average value of 28.7 cm^3 s^-1. The diffusion of another gas under the same conditions is measured to have an average rate of 7.2 cm^3 s^-1. Identify the gas.","Given
Rate of diffusion of hydrogen, R1 = 28.7 cm^3 s^-1
Rate of diffusion of another gas, R2 = 7.2 cm^3 s^-1
According to Graham’s Law of diffusion,
We have
R1 / R2 = (M2 / M1)^0.5
Where,
M1 is the molecular mass of hydrogen = 2.020g
M2 is the molecular mass of the unknown gas
Hence,
M2 = M1 (R1 / R2)^2
= 2.02 (28.7 / 7.2)^2
We get,
= 32.09 g
32 g is the molecular mass of oxygen.
Therefore, the unknown gas is oxygen.",,,,,,,,
"13. A gas in equilibrium has uniform density and pressure throughout its volume. This is strictly true only if there are no external influences. A gas column under gravity, for example, does not have a uniform density (and pressure). As you might expect, its density decreases with height. The precise dependence is given by the so-called law of the atmosphere n2= n1 exp [ -mg (h2 – h1)/ kBT], where n2, n1 refer to number density at heights h2 and h1respectively. Use this relation to derive the equation for the sedimentation equilibrium of a suspension in aliquid column:n2 = n1 exp [ -mg NA (ρ – ρ′ ) (h2–h1)/ (ρ RT)], where ρ is the density of the suspended particle, and ρ′ that of the surrounding medium. [NA is Avogadro’s number and R is the universal gas constant.] [Hint: Use Archimedes’s principle to find the apparent weight of the suspended particle.]","Law of atmosphere
n2= n1 exp [ -mg (h2 – h1)/ kBT] ———(1)
The suspended particle experiences an apparent weight because the liquid is displaced.
According to Archimedes’s principle
Apparent weight = Weight of the water displaced – Weight of the suspended particle
= mg – m’g
= mg – Vρ’g  = mg – (m/ρ) ρ’g
= mg (1 – (ρ’/ρ)) ——-(2)
ρ′= Density of the water
ρ = Density of the suspended particle
m′ = Mass of the suspended particle
m = Mass of the water displaced
V =  Volume of a suspended particle
Boltzmann’s constant (K) = R/NA ——(3)
Substituting equation (2) and equation (3) in equation (1)
n2= n1 exp [ -mg (h2 – h1)/ kBT]
n2 = n1 exp [ -mg (1 – ρ′/ ρ ) (h2–h1)NA / (RT)]
n2 = n1 exp [ -mg NA (ρ – ρ′ ) (h2–h1)/ (ρ RT)]
",,,,,,,,
"1. Which of the following examples represents periodic motion? 
(a) A swimmer completing one (return) trip from one bank of a river to the other and back. 
(b) A freely suspended bar magnet displaced from its N-S direction and released. 
(c) A hydrogen molecule rotating about its centre of mass. 
(d) An arrow released from a bow.","(a) The swimmers motion is not periodic. The motion of the swimmer between the banks of a river is to and fro. However, it does not have a definite period. This is because the time taken by the swimmer during his back and forth journey may not be the same.
(b) The motion of a freely-suspended magnet, if displaced from its N-S direction and released, is periodic. This is because the magnet oscillates about its position with a definite period of time.
(c) A hydrogen molecule rotating about its centre of mass is periodic. This is because when a hydrogen molecule rotates about its centre of mass, it comes to the same position again and again after an equal interval of time.
(d) An arrow released from a bow moves only in the forward direction. It does not come backward. Therefore, this motion is not periodic.",,,,,,,,
"2. Which of the following examples represent (nearly) simple harmonic motion and which represent periodic but not simple harmonic motion? (a) the rotation of earth about its axis.(b) motion of an oscillating mercury column in a U-tube.(c) motion of a ball bearing inside a smooth curved bowl, when released from a point slightly above the lower most point. (d) general vibrations of a polyatomic molecule about its equilibrium position.","(a) Rotation of the earth is not to and fro motion about a fixed point. Therefore, it is periodic but not S.H.M.
(b) Simple harmonic motion
(c) Simple harmonic motion
(d) General vibrations of a polyatomic molecule about its equilibrium position is periodic but not SHM. A polyatomic molecule has a number of natural frequencies. Therefore, its vibration is a superposition of simple harmonic motions of a number of different frequencies.",,,,,,,,
"4. Which of the following functions of time represent (a) simple harmonic, (b) periodic but not simple harmonic, and (c) non-periodic motion? Give period for each case ofperiodic motion (ω is any positive constant):(a) sin ωt – cos ωt (b) sin^3 ωt  (c) 3cos (π/4 – 2ωt) (d) cos ωt + cos 3ωt + cos 5ωt (e) exp (–ω^2 t^2)  (f) 1 + ωt + ω^2 t^2","(a) sinωt−cosωt
=√2 [(1/√2) sinωt− (1/√2) cosωt]
= √2 [sinωt×cos (π/4) −cosωt×sin (π/4)]
= √2 [sinωt – (π/4)]
It is a simple harmonic motion and its period is 2π/4​
(b) sin^3(ωt)=1/4[3sin ωt−sin 3ωt]
Here sin ωt and sin 3ωt individually represent SHM. The superposition of two SHM is periodic but not simple harmonic.
Its time period is 2π/ω
(c)  3cos[4π −2ωt] = 3cos[2ωt−π/4]
The equation can be written in the form cos(ωt+ϕ). It is S.H.M with the period 2π/2ω=π/ω
(d) cosωt+cos3ωt+cos5ωt.
Each of the cosine function represents a simple harmonic motion.  However, the superposition of three simple harmonic motions is periodic, but not simple harmonic. Its time period is  2π/ω
(e) exp(−ω^2 t^2)
It is an exponential function that does not repeat itself. Therefore, it is a non-periodic motion.
(f) The given function 1+ωt+ω^2 t^2
It is non-periodic.",,,,,,,,
"5. A particle is in linear simple harmonic motion between two points, A and B, 10 cm apart. Take the direction from A to B as the positive direction and give the signs of velocity, acceleration and force on the particle when it is 
(a) at the end A
(b) at the end B
(c) at the mid-point of AB going towards A
(d) at 2 cm away from B going towards A
(e) at 3 cm away from A going towards B
(f) at 4 cm away from B going towards A","(a) Zero, Positive, Positive
(b) Zero, Negative, Negative
(c) Negative, Zero, Zero
(d) Negative, Negative, Negative
(e) Positive, Positive, Positive
(f) Negative, Negative, Negative

Explanation:

(a), (b) The given situation is shown in the following figure. Points A and B are the two end points, with AB = 10 cm, where ‘O’ is the midpoint of the path.

A particle is in linear simple harmonic motion between the end points. At the extreme point A, the particle is at rest momentarily. Therefore, its velocity is zero at this point. Its acceleration is positive as it is directed along AO. Force is also positive in this case as the particle is directed rightward.

At the extreme point B, the particle is at rest momentarily. Therefore, its velocity is zero at this point

(c) The particle is executing a simple harmonic motion. ‘O’ is the mean position of the particle. Its velocity at the mean position O is the maximum. The value for velocity is negative since the particle is directed leftward. The acceleration and force of a particle executing SHM is zero at the mean position.

(d) The particle is moving toward point O from the end B. This direction of motion is opposite to the conventional positive direction, which is from A and B. Therefore, the particle’s velocity and acceleration, and the force on it are all negative.

(e) The particle is moving toward point O from the end A. This direction of motion is from A to B, which is the conventional positive direction. Therefore, the values for velocity, acceleration and force are all positive.

(f) This case is similar to the one mentioned in (d)",,,,,,,,
"6. Which of the following relationships between the acceleration a and the displacement x of a particle involve simple harmonic motion? 
(a) a = 0.7x 
(b) a = –200x^2
(c) a = –10x 
(d) a = 100x^3","Condition of SHM
Acceleration is directly proportional to negative of displacement of particle
If ‘a’ is acceleration
x is displacement
Then, for Simple Harmonic Motion,
a = – kx where k is constant
(a) a = 0.7x
This is not in the form of a = -kx
Hence, this is not SHM
(b) a = – 200x^2
Clearly, it is not SHM
(c) a = -10x
This is in the form of a = -kx
Hence, this is SHM
(d) a = 100x^3
It’s clear it is not SHM",,,,,,,,
"7. The motion of a particle executing simple harmonic motion is described by the displacement function,x(t) = A cos (ωt + φ ).If the initial (t = 0) position of the particle is 1 cm and its initial velocity is ω cm/s, what are its amplitude and initial phase angle? The angular frequency of the particle is π s^–1. If instead of the cosine function, we choose the sine function to describe the SHM: x = B sin (ωt + α), what are the amplitude and initial phase of the particle with the above initial conditions.","Displacement function x(t) = A cos (ωt + φ )
At position,  t = 0;
Displacement, x(0)=1 cm
Initial velocity, v=ω cm/s
Angular frequency, ω=π s^−1
The given function is  x(t)=Acos(ωt+ϕ) ——–(1)
1=Acos(ω×0+ϕ)=Acosϕ
Acosϕ=1  —————(2)
Differentiating equation (1) w.r.t “t”
Velocity, v=dx/dt
v=−Aωsin(ωt+ϕ) ——(3)
t = 0 and v = ω
1=−Asin(ω×0+ϕ)=−Asinϕ
Asinϕ=−1 ———-(4)
Squaring and adding equations (2) and (4), we get:
A^2(sin^2 ϕ+cos^2 ϕ)=1+1
A = √2 cm
Dividing equation (4) by equation (2),
(A sin ϕ/A cos ϕ) = -1/1
tanϕ=−1
⇒ ϕ=3π/4, 7π/4
If sine function is used
x=Bsin(ωt+α)
At t = 0, x = 1 and v = ω we get
1=Bsin(ω×0+α]=1+1
Bsinα=1 —- (5)
Velocity, v= dx/dt = Bωcos(ωt+α)
taking v = ω
1 = Bcos(ω(0)+α) = Bcos α——(6)
Squaring and adding equations(5) and (6), we get:
B^2[sin^2 α+cos^2 α]=1+1
B^2 =2
B= √2 cm
Dividing equation (5) by equation (6), we get:
Bsinα/Bcosα=1/1
tanα=1
Therefore, α=π/4,5π/4,……",,,,,,,,
"8. A spring balance has a scale that reads from 0 to 50 kg. The length of the scale is 20 cm. A body suspended from this balance, when displaced and released, oscillates with a period of 0.6 s. What is the weight of the body?","Given
Maximum mass that the scale can read, M = 50 kg
Maximum displacement of the spring = Length of the scale, l = 20 cm
= 0.2 m
Time period, T = 0.6 s
Maximum force exerted on the spring, F = mg
Where,
g = acceleration due to gravity = 9.8 m/s2
F = 50 x 9.8 = 490
Hence,
Spring constant, k = F / l
= 490 / 0.2
We get,
= 2450 N m^-1
Mass m is suspended from the balance.
Time period, t = 2π√m / k
Therefore,
m = (T / 2π)2 x k
= {0.6 / (2 x 3.14)}2 x 2450
We get,
= 22.36 kg
Hence, weight of the body = mg = 22.36 x 9.8
On calculation, we get,
= 219.13 N
Therefore, the weight of the body is about 219 N",,,,,,,,
"14. The piston in the cylinder head of a locomotive has a stroke (twice the amplitude) of 1.0 m. If the piston moves with simple harmonic motion with an angular frequency of 200 rad/min, what is its maximum speed?","Given
Angular frequency of the piston, ω = 200 rad/ min
Stroke = 1.0 m
Amplitude, A = 1.0 / 2
= 0.5 m
The maximum speed (vmax) of the piston is given by the relation:
vmax = Aω
= 200 x 0.5
We get,
= 100 m/ min
Therefore, its maximum speed is 100 m / min",,,,,,,,
"15. The acceleration due to gravity on the surface of moon is 1.7 m s^-2. What is the time period of a simple pendulum on the surface of moon if its time period on the surface of earth is 3.5 s? (g on the surface of earth is 9.8 m s^-2)
","Given
Acceleration due to gravity on the surface of moon, g’ = 1.7 m s^-2
Acceleration due to gravity on the surface of earth, g = 9.8 m s^-2
Time period of a simple pendulum on earth, T = 3.5 s
T = 2 π√l / g
Where,
l is the length of the pendulum
Therefore,
l = {T^2 / (2π)^2} x 2
On substituting, we get,
l = (3.5)^2 / {4 x (3.14)^2} x 9.8 m
The length of the pendulum remains constant
On moon’s surface, time period, T’ = 2 π√l / g’
= 2 π [√{(3.5)2 / 4 x (3.14)2 x 9.8 / 1.7}]
We get,
= 8.4 s
Therefore, the time period of the simple pendulum on the surface of the moon is 8.4 s",,,,,,,,
"16. Answer the following questions :(a) Time period of a particle in SHM depends on the force constant k and mass m of the particle:T = = 2π (√m/√k)A simple pendulum executes SHM approximately. Why then is the time period of a pendulum independent of the mass of the pendulum?
(b) The motion of a simple pendulum is approximately simple harmonic for small-angle oscillations. For larger angles of oscillation, a more involved analysis shows that T is greater than 2π(√l/√g). Think of a qualitative argument to appreciate this result.
(c) A man with a wristwatch on his hand falls from the top of a tower. Does the watch give the correct time during the free fall?
(d) What is the frequency of oscillation of a simple pendulum mounted in a cabin that is freely falling under gravity?","(a)  In the case of a simple pendulum, the spring constant k is proportional to the mass. The m is the numerator and the denominator will cancel each other. Therefore, the time period of the simple pendulum is independent of the mass of the bob.
(b) The restoring force acting on the bob of a simple pendulum is given by the expression
F=−mgsinθ
F is the restoring force
m is the mass of the bob
g is the acceleration due to gravity
θ is the angle of displacement
When θ is small, sinθ≈θ.
Then the expression for the time period of a simple pendulum is given by T=2π(√l/√g)
When θ is large, sinθ<θ. Therefore, the above equation will not be valid. There will be an increase in the time period T.
(c) Wristwatch works on spring action and does not depend on the acceleration due to gravity. Therefore, the watch will show the correct time.
(d) During the free fall of the cabin, the acceleration due to gravity will be zero. Therefore the frequency of oscillation of the simple pendulum will also be zero.",,,,,,,,
"17. A simple pendulum of length l and having a bob of mass M is suspended in a car. The car is moving on a circular track of radius R with a uniform speed v. If the pendulum makes small oscillations in a radial direction about its equilibrium position, what will be its time period?","The bob of the simple pendulum will experience the centripetal acceleration provided by the circular motion of the car and the acceleration due to gravity.
Acceleration due to gravity = g
Centripetal acceleration = v^2 / R
Where,
v is the uniform speed of the car
R is the radius of the track
Effective acceleration (g’) is given as
g‘ = √g2 + (v^4 / R^2)
Hence,
Time period, t = 2π√l / g’
= 2π √(l / √g^2 + v^4 / R^2)
Therefore, its time period will be 2π √(l / √g^2 + v^4 / R^2)",,,,,,,,
"18. A cylindrical piece of cork of density of base area A and height h floats in a liquid of density ρ1. The cork is depressed slightly and then released. Show that the cork oscillates up and down simple harmonically with a period T = 2π √hρ / ρ1g where ρ is the density of cork. (Ignore damping due to viscosity of the liquid)
","Given
Base area of the cork = A
Height of the cork = h
Density of the liquid = ρ1
Density of the cork = ρ
In equilibrium:
Weight of the cork = Weight of the liquid displaced by the floating cork
Let the cork be depressed slightly by x. As a result, some excess water of a certain volume is displaced.
Thus, an extra up-thrust acts upward and provides the restoring force to the cork
Up-thrust = Restoring force, F = Weight of the extra water displaced
F = – (Volume * Density * g)
Volume = Area * Distance through which the cork is depressed
Volume = Ax
Therefore,
F = – Ax * ρ1g …. (1)
According to the force law:
F = kx
k = F / x
where,
k is constant
k = F / x = – Aρ1g ……. (2)
The time period of the oscillations of the cork:
T = 2π (√m / k) ……. (3)
Where,
m = Mass of the cork
= Volume of the cork * Density
= Base area of the cork * Height of the cork * Density of the cork
= Ahρ
Therefore, the expression for the time period becomes:
T = 2π √(Ahρ / Aρ1g)
T = 2π √(hρ / ρ1g)",,,,,,,,
"19. One end of a U-tube containing mercury is connected to a suction pump and the other end to atmosphere. A small pressure difference is maintained between the two columns. Show that, when the suction pump is removed, the column of mercury in the U-tube executes simple harmonic motion.","Area of cross-section of the U-tube = A
Density of the mercury column = ρ
Acceleration due to gravity = g
Restoring force, F = Weight of the mercury column of a certain height
F = – (Volume x Density x g)
F = – (A x 2h x ρ x g)
= – 2Aρgh
= – k x Displacement in one of the arms (h)
Where,
2h is the height of the mercury column in the two arms
k is a constant, given by
k = – F / h
We get,
k = 2Aρg
Time period, T = 2π √(m / k)
On substituting k value, we get,
Time period, T = 2π √(m / 2Aρg)
Where,
m is the mass of the mercury column
Let l be the length of the total mercury in the U-tube
Mass of mercury, m = volume of mercury x Density of mercury
= Alρ
Hence,
T = 2π √(Alρ / 2Aρg)
T = 2π √(l / 2g)
Therefore, the mercury column executes simple harmonic motion with time period 2π √(l / 2g)",,,,,,,,
"21. You are riding in an automobile of mass 3000 kg. Assuming that you are examining the oscillation characteristics of its suspension system. The suspension sags 15 cm when the entire automobile is placed on it. Also, the amplitude of oscillation decreases by 50% during one complete oscillation. Estimate the values of (a) the spring constant k and (b) the damping constant b for the spring and shock absorber system of one wheel, assuming that each wheel supports 750 kg.","(a) Mass of the automobile = 3000 kg
The suspension sags by 15 cm
Decrease in amplitude =50% during one complete oscillation
Let k be the spring constant of each spring, then the spring constant of the four springs in parallel is
K= 4k
Since F = 4kx
Mg = 4kx
k = Mg/4x = (3000 x 10)/(4 x 0.15) = 5 x 104 N
(b) Each wheel supports 750 kg weight
t = 2π√m/√k = 2 x 3.14 x (√750/√5 x 104) = 0.77 sec
Using, \(\begin{array}{l}x = x_{0}e^{-\frac{bt}{2m}}\end{array} \),
we get
\begin{array}{l}\frac{50}{100}x_{0} = x_{0}e^{-\frac{b\times 0.77}{2\times 750}}\end{array}
\begin{array}{l}log_{e}2 = (b\times 0.77)/(1500)log_{e}e\end{array}
\begin{array}{l}b= \frac{(1500)log_{e}2 }{0.77}\end{array}
b = (1500 x 0.6931)/0.77 = 1350.2 kg/s",,,,,,,,
22. Show that for a particle in linear SHM the average kinetic energy over a period of oscillation equals the average potential energy over the same period.,"Let m be the mass of the particle executing simple harmonic motion. The displacement of the particle at an instant t is given by
x = A sin ωt
Velocity of the particle, v= dx/dt = Aωcos ωt
Instantaneous Kinetic Energy, K = (1/2) mv2
= (1/2) m (Aωcos ωt)2
= (1/2) m (A2ω2cos2ωt)
Average value of kinetic energy over one complete cycle \begin{array}{l}K_{av}=\frac{1}{T}\int_{0}^{T}\frac{1}{2}mA^{2}\omega ^{2}cos^{2}\omega tdt\end{array} =\begin{array}{l} \frac{m A^{2} \omega^{2}}{4 T}\left[t+\frac{\sin 2 \omega t}{2 \omega}\right]_{0}^{T} \\ =\frac{m A^{2} \omega^{2}}{4 T}\left[(T-0)+\left(\frac{\sin 2 \omega t-\sin 0}{2 \omega}\right)\right] \\ =\frac{1}{4} m A^{2} w^{2} \end{array}\
Average instantaneous potential energy, U = (1/2)kx^2 = (1/2) mω^2x^2= (1/2)mω^2 A^2 sin^2 ωt
Average value of potential energy over one complete cycle \begin{array}{l}\begin{aligned} U_{a v} &=\frac{1}{T} \int_{0}^{T} \frac{1}{2} m \omega^{2} A^{2} \sin ^{2} \omega t=\frac{m \omega^{2} A^{2}}{2 T} \int_{0}^{T} \sin ^{2} \omega t d t \\ &=\frac{m \omega^{2} A^{2}}{2 T} \int_{0}^{T} \frac{(1-\cos 2 \omega t)}{2} d t \\ &=\frac{m \omega^{2} A^{2}}{4 T}\left[t-\frac{\sin 2 \omega t}{2 \omega}\right]_{0}^{T} \\ &=\frac{m \omega^{2} A^{2}}{4 T}\left[(T-0)-\frac{(\sin 2 \omega t-\sin 0)}{2 \omega}\right] \\ &=\frac{1}{4} m \omega^{2} A^{2} \end{aligned}\end{array}
Kinetic energy = Potential energy",,,,,,,,
